FIPS,Alcohol Mortality Rate,Alcohol Mortality Rate(F),Alcohol Mortality Rate(M),Drug Mortality Rate,Drug Mortality Rate(F),Drug Mortality Rate(M),Self-harm Mortality Rate,Self-harm Mortality Rate(F),Self-harm Mortality Rate(M),Int. Violence Mortality Rate,Int. Violence Mortality Rate(F),Int. Violence Mortality Rate(M)
1059.0,1.82,1.07,2.81,17.26,13.4,21.64,21.34,19.63,23.25,6.84,4.67,9.39
1061.0,1.54,1.02,2.2,6.46,4.24,9.3,17.75,16.05,19.46,6.82,4.75,9.34
1063.0,2.46,1.59,3.43,6.91,3.7,11.19,17.11,13.36,21.05,21.48,15.87,27.49
1065.0,1.58,0.95,2.32,6.58,3.95,9.9,13.76,11.5,16.09,12.37,8.97,16.59
1067.0,1.79,1.13,2.59,6.31,3.79,9.82,16.02,14.07,18.11,7.69,5.24,10.66
1069.0,2.25,1.6,2.97,9.57,7.3,12.16,13.61,12.44,14.8,6.79,5.26,8.63
1071.0,2.23,1.6,3.03,10.29,7.75,13.49,21.97,20.21,23.81,6.36,4.62,8.43
1073.0,3.71,2.99,4.57,22.64,20.47,24.74,15.33,14.16,16.54,14.92,13.29,16.55
1075.0,1.27,0.67,2.04,9.57,6.23,13.94,16.33,14.7,18.14,4.3,2.53,6.74
1077.0,2.15,1.54,2.88,10.38,8.16,12.98,17.34,15.97,18.68,6.56,4.92,8.45
1079.0,1.9,1.19,2.78,13.83,10.47,17.66,22.84,20.61,24.98,8.09,5.76,10.86
1081.0,1.73,1.27,2.27,5.41,3.86,7.04,12.93,11.75,14.09,7.02,5.39,8.77
1083.0,1.31,0.9,1.81,6.71,5.1,8.7,16.54,15.16,17.94,6.21,4.56,8.06
1085.0,1.67,1.09,2.34,4.59,2.69,7.32,13.82,11.19,16.92,22.3,17.4,27.41
1087.0,2.71,1.81,3.7,7.37,4.36,11.36,14.14,11.39,17.1,24.53,19.99,29.56
1089.0,1.52,1.15,1.93,6.28,5.18,7.68,15.29,14.24,16.35,7.22,6.02,8.59
1091.0,2.08,1.4,2.82,6.43,3.91,9.46,11.36,9.72,13.04,9.57,6.84,12.31
1093.0,1.02,0.61,1.55,7.2,5.01,9.96,19.97,18.31,21.68,5.88,3.99,8.36
1095.0,2.53,1.71,3.43,13.49,10.68,16.47,19.98,18.54,21.36,5.61,4.15,7.19
1097.0,3.76,3.04,4.51,11.82,9.95,13.76,15.58,14.2,16.88,14.01,12.12,16.01
1099.0,2.31,1.5,3.16,7.93,5.25,11.61,16.18,13.86,18.49,12.11,8.9,15.51
1101.0,1.62,1.25,2.08,6.05,4.73,7.59,12.63,11.2,14.12,17.11,15.01,19.43
1103.0,2.15,1.54,2.84,11.41,9.09,13.79,19.08,17.73,20.59,6.4,4.89,8.16
1105.0,3.4,2.13,4.87,9.95,5.59,15.64,12.79,10.12,15.65,15.83,11.44,20.31
1107.0,1.44,0.84,2.26,10.53,7.38,14.32,14.42,12.7,16.18,7.45,5.28,9.96
1109.0,3.62,2.67,4.76,6.7,4.23,9.85,17.17,15.16,19.2,9.33,6.59,12.63
1111.0,1.85,1.18,2.67,10.04,7.01,13.59,20.18,17.96,22.31,9.02,6.41,12.24
1113.0,3.23,2.41,4.17,9.0,6.57,12.04,18.02,15.97,20.12,12.29,9.59,15.39
1115.0,1.76,1.19,2.49,16.46,13.46,19.51,21.34,19.61,23.05,7.07,5.41,9.23
1117.0,1.42,0.99,1.93,11.42,9.73,13.25,14.0,12.99,14.99,4.55,3.55,5.75
1119.0,1.92,1.28,2.71,5.4,3.23,8.42,12.03,9.89,14.05,11.73,8.51,15.27
1121.0,1.23,0.81,1.73,8.97,6.86,11.36,17.33,15.75,19.03,9.83,7.61,12.36
1123.0,2.09,1.42,2.84,7.61,5.09,10.74,18.36,16.46,20.48,10.69,8.0,13.78
1125.0,2.18,1.61,2.88,11.74,9.52,14.14,13.84,12.61,15.09,8.1,6.5,9.93
1127.0,2.31,1.47,3.53,34.68,30.07,39.83,29.88,27.69,32.14,11.12,8.49,14.38
1129.0,2.44,1.71,3.36,6.37,3.87,9.74,16.33,14.12,18.38,9.3,6.53,12.84
1131.0,2.57,1.73,3.53,6.74,3.51,10.98,16.27,13.16,19.23,19.39,14.43,24.85
1133.0,1.34,0.79,2.03,11.23,8.06,14.82,19.91,17.76,22.05,7.2,4.83,10.09
2.0,10.25,9.27,11.23,11.51,9.83,13.28,25.33,24.15,26.43,6.21,5.33,7.26
2013.0,5.37,3.73,7.32,5.42,2.96,8.71,9.03,7.29,10.88,2.5,1.2,4.61
2016.0,5.37,3.73,7.32,5.42,2.96,8.71,9.03,7.29,10.88,2.5,1.2,4.61
2020.0,9.8,7.93,11.54,13.26,10.07,16.98,21.04,19.48,22.63,6.43,4.75,8.52
2050.0,23.82,19.54,28.74,6.77,2.61,13.52,55.07,47.8,62.15,13.02,8.03,19.58
2060.0,13.26,6.76,21.73,14.03,4.7,27.61,44.76,33.06,57.24,8.24,3.15,17.3
2068.0,32.94,27.61,39.01,8.8,4.47,15.54,64.22,55.34,72.5,16.27,10.54,23.56
2070.0,31.31,25.77,37.39,11.04,5.59,19.17,38.17,32.64,43.98,10.36,6.25,15.9
2090.0,8.89,7.44,10.58,8.47,6.12,11.13,21.04,18.97,23.04,5.43,3.98,7.21
2100.0,7.47,4.95,10.71,6.23,2.39,11.57,19.9,15.5,24.65,2.57,1.04,5.28
2105.0,10.29,7.82,13.08,5.67,2.69,10.04,23.1,19.9,26.69,4.14,2.21,7.37
2110.0,6.73,5.06,8.6,10.09,6.84,13.72,17.5,15.78,19.31,2.12,1.2,3.41
2122.0,7.25,5.76,8.92,12.52,9.5,15.82,27.43,25.37,29.66,4.14,2.92,5.74
2130.0,12.04,9.59,14.78,10.29,6.67,14.2,24.25,21.59,26.92,4.54,2.83,6.98
2150.0,11.0,8.07,13.95,11.45,6.98,17.1,17.19,14.96,19.67,3.62,2.04,6.06
2158.0,23.12,18.86,27.47,7.53,3.03,14.15,98.66,85.57,111.38,19.33,12.7,27.36
2164.0,31.31,25.77,37.39,11.04,5.59,19.17,38.17,32.64,43.98,10.36,6.25,15.9
2170.0,6.03,4.64,7.5,14.23,11.3,17.58,26.42,24.17,28.56,6.72,5.01,8.87
2180.0,34.31,29.23,39.97,7.98,3.67,14.44,75.06,67.36,83.59,10.88,7.53,15.52
2185.0,16.04,12.81,19.3,5.68,2.5,10.62,34.6,29.81,39.84,7.46,4.61,11.41
2188.0,25.62,21.35,30.76,5.62,2.19,11.37,65.25,57.16,73.74,7.86,5.15,11.9
2195.0,12.04,9.59,14.78,10.29,6.67,14.2,24.25,21.59,26.92,4.54,2.83,6.98
2198.0,12.04,9.59,14.78,10.29,6.67,14.2,24.25,21.59,26.92,4.54,2.83,6.98
2220.0,5.32,3.35,7.64,9.9,5.86,14.79,19.27,16.7,21.82,3.31,1.7,5.77
2230.0,10.29,7.82,13.08,5.67,2.69,10.04,23.1,19.9,26.69,4.14,2.21,7.37
2240.0,13.65,10.84,16.95,6.4,2.76,11.71,25.83,22.47,29.51,4.97,2.83,7.89
2261.0,16.4,13.27,20.23,7.92,4.23,12.73,26.0,23.25,29.0,4.59,2.79,6.88
2275.0,12.04,9.59,14.78,10.29,6.67,14.2,24.25,21.59,26.92,4.54,2.83,6.98
2282.0,10.29,7.82,13.08,5.67,2.69,10.04,23.1,19.9,26.69,4.14,2.21,7.37
2290.0,32.94,27.61,39.01,8.8,4.47,15.54,64.22,55.34,72.5,16.27,10.54,23.56
4.0,4.56,4.22,4.91,12.5,11.65,13.28,19.38,18.59,20.15,6.55,6.08,7.02
4001.0,31.53,28.28,34.87,10.98,7.48,15.8,36.78,33.53,40.1,15.0,11.55,19.18
4003.0,3.25,2.46,4.14,10.59,8.41,12.95,24.22,22.66,25.91,6.02,4.6,7.91
4005.0,10.45,8.99,11.87,7.87,5.81,10.35,24.45,22.76,26.1,6.44,5.09,8.11
4007.0,8.03,6.21,10.17,20.69,15.94,25.44,30.44,27.69,33.32,10.78,8.01,13.87
4009.0,3.97,2.84,5.17,13.29,10.17,17.01,19.42,17.61,21.39,5.37,3.78,7.61
4011.0,3.75,2.46,5.36,10.39,6.6,14.78,19.73,17.24,22.28,5.92,3.6,9.19
4012.0,3.27,2.43,4.21,13.33,11.1,15.91,15.14,14.18,16.24,4.85,3.79,6.1
4013.0,3.8,3.4,4.23,11.7,10.83,12.53,17.32,16.58,18.13,6.31,5.71,6.91
4015.0,5.06,4.02,6.16,19.48,16.55,22.66,34.67,32.73,36.7,8.27,6.6,10.28
4017.0,19.5,16.89,22.36,16.29,12.31,20.61,31.57,29.05,34.21,11.62,9.01,14.69
4019.0,4.34,3.66,5.02,16.13,14.63,17.67,19.13,18.09,20.06,6.79,5.81,7.81
4021.0,3.56,2.88,4.26,8.92,7.38,10.67,17.62,16.43,18.8,6.79,5.54,8.19
4023.0,1.75,1.09,2.59,6.85,4.81,9.23,11.16,9.83,12.47,4.57,3.08,6.44
4025.0,3.81,2.98,4.72,14.63,12.31,16.93,34.11,32.33,35.91,5.31,4.11,6.63
4027.0,3.27,2.43,4.21,13.33,11.1,15.91,15.14,14.18,16.24,4.85,3.79,6.1
5.0,2.62,2.4,2.85,8.17,7.52,8.82,19.16,18.4,19.92,8.35,7.85,8.92
5001.0,1.63,1.11,2.24,5.18,3.09,7.83,18.75,15.95,21.4,12.59,9.08,16.91
5003.0,2.78,1.87,3.82,8.46,5.7,12.07,17.55,15.56,19.72,8.9,6.47,11.94
5005.0,2.93,2.0,4.08,12.51,9.37,16.34,26.57,24.65,28.54,4.24,2.78,6.09
5007.0,2.12,1.56,2.7,7.03,5.59,8.61,16.79,15.77,17.8,3.26,2.49,4.22
5009.0,1.73,1.08,2.53,9.54,6.8,12.68,23.27,21.39,25.1,5.47,3.76,7.58
5011.0,1.9,1.24,2.72,4.71,2.38,8.1,14.86,12.73,17.11,9.52,6.47,13.34
5013.0,2.67,1.76,3.88,5.1,2.64,8.58,19.32,16.35,22.49,8.62,5.33,12.7
5015.0,2.23,1.46,3.21,11.19,8.33,14.61,21.33,19.5,23.28,5.13,3.48,7.34
5017.0,2.8,2.03,3.75,6.35,3.66,9.89,14.66,12.01,17.3,15.99,12.04,20.3
5019.0,1.35,0.87,1.95,4.6,2.72,7.09,14.65,12.99,16.35,5.65,3.8,8.02
5021.0,1.67,1.03,2.55,7.57,4.53,11.5,17.6,16.04,19.31,4.37,2.59,6.94
5023.0,1.46,0.87,2.13,7.22,4.97,9.95,19.99,18.18,21.91,4.89,3.3,7.01
5025.0,1.15,0.73,1.67,3.52,1.96,5.74,16.68,14.51,18.89,5.38,3.25,8.13
5027.0,2.29,1.57,3.11,6.61,4.25,9.44,20.19,17.88,22.3,9.24,6.58,12.31
5029.0,2.99,1.99,4.26,10.66,7.26,14.45,21.59,19.18,23.79,8.6,5.89,12.18
5031.0,1.52,1.0,2.16,8.93,7.01,11.12,17.06,15.71,18.42,6.01,4.55,7.69
5033.0,2.08,1.36,2.95,12.76,10.02,15.87,21.08,19.38,22.77,5.53,4.03,7.47
5035.0,3.36,2.53,4.38,8.13,5.64,11.05,16.65,14.26,19.0,17.98,14.63,21.68
5037.0,2.75,1.75,3.86,9.21,5.68,13.94,17.74,15.51,19.98,9.1,6.19,12.76
5039.0,2.37,1.6,3.39,4.16,2.01,7.24,16.76,14.19,19.48,11.39,7.83,15.7
5041.0,3.24,2.3,4.35,5.75,3.24,9.02,15.59,12.77,18.35,15.51,11.53,19.88
5043.0,2.72,1.89,3.71,6.62,4.14,9.88,16.36,14.2,18.53,9.46,6.71,12.81
5045.0,2.38,1.68,3.11,7.16,5.32,9.32,16.71,15.41,17.93,4.83,3.57,6.45
5047.0,3.01,1.87,4.51,12.38,8.52,17.25,23.04,20.8,25.35,3.91,2.47,5.96
5049.0,1.96,1.14,2.94,13.18,9.05,17.96,25.98,23.32,28.88,6.74,4.16,10.04
5051.0,4.93,3.88,6.14,12.02,9.25,15.1,33.78,31.28,36.32,11.12,8.53,13.9
5053.0,1.54,0.97,2.29,5.9,3.56,8.89,19.6,17.65,21.61,4.76,3.09,7.09
5055.0,2.21,1.39,3.15,11.33,8.54,14.78,24.46,22.45,26.6,6.1,4.32,8.48
5057.0,1.93,1.26,2.72,5.68,3.41,8.64,15.58,13.65,17.39,9.3,6.44,12.6
5059.0,2.4,1.71,3.27,5.78,3.68,8.45,22.7,20.36,25.0,8.33,5.98,11.39
5061.0,1.83,1.15,2.69,7.26,4.25,11.22,18.48,16.49,20.66,7.72,5.17,10.92
5063.0,1.32,0.82,1.94,7.14,4.89,9.65,22.84,20.9,24.9,6.51,4.48,8.87
5065.0,2.27,1.29,3.64,12.28,8.23,17.03,27.09,24.5,29.85,5.73,3.42,8.71
5067.0,2.19,1.41,3.17,9.67,6.16,13.75,20.38,18.03,22.62,9.56,6.55,13.33
5069.0,2.4,1.85,3.03,4.82,3.29,6.78,14.84,12.56,17.14,22.22,19.04,25.7
5071.0,1.93,1.17,2.81,9.33,6.42,12.6,19.8,18.14,21.51,4.43,2.78,6.51
5073.0,2.62,1.74,3.62,6.18,3.4,9.9,21.08,18.14,24.14,11.23,7.78,15.51
5075.0,1.25,0.68,2.13,10.14,6.77,14.57,17.43,15.81,19.14,4.12,2.56,6.43
5077.0,2.46,1.64,3.46,5.57,3.02,8.84,15.97,12.59,19.35,18.73,13.77,24.05
5079.0,1.57,1.02,2.2,3.07,1.49,5.56,11.79,9.68,13.84,9.23,6.31,12.8
5081.0,1.94,1.23,2.81,7.96,5.15,11.66,21.46,19.12,23.95,6.36,4.03,9.24
5083.0,1.92,1.18,2.82,10.91,7.66,14.85,24.99,22.8,27.45,5.71,3.73,8.23
5085.0,2.16,1.49,2.95,8.37,6.12,10.72,16.05,14.76,17.49,5.83,4.25,7.69
5087.0,1.76,1.12,2.51,6.36,3.89,9.69,22.78,20.56,24.98,3.89,2.36,6.0
5089.0,2.53,1.61,3.62,9.61,6.34,13.41,28.19,25.7,30.73,5.75,3.68,8.7
5091.0,2.84,2.11,3.68,6.71,4.43,9.38,16.42,14.7,18.04,7.56,5.43,10.21
5093.0,7.1,5.46,8.88,13.6,9.77,18.51,19.59,17.27,21.83,15.12,12.06,18.74
5095.0,1.75,1.09,2.56,5.02,2.63,8.17,17.24,14.02,20.21,14.34,10.25,19.19
5097.0,1.85,1.16,2.72,6.62,4.19,9.7,23.47,20.89,26.19,5.63,3.52,8.53
5099.0,1.66,1.07,2.43,5.81,3.22,9.5,20.24,17.71,22.65,8.48,5.59,11.9
5101.0,2.2,1.36,3.21,8.54,5.02,13.05,22.64,20.11,25.13,5.32,3.08,8.2
5103.0,2.72,1.92,3.63,6.29,4.01,9.1,19.6,17.03,22.13,13.06,9.67,16.86
5105.0,2.23,1.38,3.25,7.52,4.47,11.76,27.92,25.14,30.73,5.79,3.55,8.69
5107.0,2.93,2.07,3.92,6.47,3.89,9.5,16.34,12.82,20.18,30.74,25.01,36.53
5109.0,0.85,0.48,1.33,5.51,3.03,8.95,18.11,16.09,20.23,5.32,3.12,8.18
5111.0,3.94,2.64,5.53,12.95,8.84,17.93,23.6,21.34,25.84,8.87,6.14,12.35
5113.0,1.03,0.6,1.64,9.19,6.39,12.58,22.38,20.21,24.6,5.07,3.34,7.63
5115.0,3.61,2.71,4.56,9.66,7.22,12.43,17.04,15.76,18.44,4.61,3.31,6.25
5117.0,1.59,0.96,2.35,5.25,2.78,8.73,15.64,13.67,17.72,6.23,3.8,9.44
5119.0,3.29,2.65,3.95,7.63,6.15,9.26,18.37,16.81,19.81,15.57,13.68,17.55
5121.0,1.54,0.88,2.4,10.47,7.24,14.43,19.98,18.11,22.1,4.79,3.13,7.09
5123.0,3.07,2.19,4.13,5.7,3.35,8.71,14.3,11.93,16.77,15.4,11.82,19.3
5125.0,2.64,1.92,3.48,7.79,5.84,9.88,18.38,17.03,19.69,5.18,3.84,6.78
5127.0,1.43,0.8,2.28,8.81,5.79,12.72,23.07,20.45,25.94,6.37,4.04,9.52
5129.0,2.3,1.39,3.39,7.85,4.44,12.69,26.03,23.23,28.91,7.45,4.44,11.6
5131.0,2.43,1.75,3.19,11.35,9.24,13.94,19.15,17.75,20.56,6.1,4.78,7.79
5133.0,1.9,1.1,2.9,7.93,4.9,11.59,23.2,20.57,26.14,8.36,5.7,11.84
5135.0,1.44,0.81,2.35,11.85,8.21,16.43,25.66,23.21,28.17,6.07,3.79,8.91
5137.0,1.63,0.92,2.43,7.9,4.59,12.11,24.79,22.13,27.58,6.94,4.27,10.15
5139.0,7.36,5.86,9.03,10.78,7.44,14.92,21.37,19.04,23.74,12.78,9.73,16.18
5141.0,2.74,1.8,3.9,7.77,4.66,11.92,22.82,20.38,25.21,6.22,3.91,9.3
5143.0,2.14,1.62,2.7,5.9,4.47,7.47,15.74,14.71,16.8,3.03,2.23,4.0
5145.0,2.11,1.47,2.85,7.62,5.49,10.02,17.87,16.4,19.29,5.72,4.21,7.57
5147.0,2.15,1.26,3.13,7.59,4.07,12.4,16.96,14.26,19.67,10.91,7.2,15.33
5149.0,2.08,1.41,2.89,8.03,5.35,11.64,20.3,18.31,22.31,6.61,4.44,9.47
6.0,2.5,2.32,2.66,8.76,8.17,9.24,10.85,10.42,11.25,5.27,5.04,5.53
6001.0,2.33,1.94,2.72,7.74,6.78,8.73,9.44,8.85,10.0,7.03,6.26,7.78
6003.0,3.63,2.23,5.52,8.8,4.9,13.92,24.17,20.09,28.9,3.76,1.95,6.62
6005.0,1.42,0.84,2.2,16.67,13.45,19.99,22.54,20.8,24.56,3.38,2.22,4.96
6007.0,3.67,2.66,4.91,23.95,20.98,27.1,18.88,17.76,20.09,4.43,3.39,5.64
6009.0,1.36,0.83,2.01,8.48,6.34,10.74,26.41,24.42,28.43,4.89,3.45,6.67
6011.0,3.17,2.34,4.18,4.98,2.97,7.79,17.46,15.6,19.45,5.08,3.25,7.55
6013.0,1.72,1.4,2.11,8.87,7.83,9.94,9.75,9.08,10.37,7.08,6.3,7.94
6015.0,6.09,4.66,7.78,12.79,8.83,17.13,25.23,23.1,27.37,6.48,4.24,9.06
6017.0,1.89,1.34,2.59,15.69,13.55,17.81,17.89,16.73,19.03,3.01,2.22,3.99
6019.0,4.9,4.18,5.63,11.31,9.78,12.84,11.8,11.0,12.62,8.26,7.22,9.31
6021.0,4.79,3.34,6.28,16.7,12.76,21.38,15.53,14.09,17.08,4.11,2.73,5.88
6023.0,10.31,8.33,12.32,25.4,21.72,29.59,25.37,23.77,27.04,6.41,4.93,8.35
6025.0,1.46,0.96,2.08,11.68,9.58,13.9,8.28,7.6,9.0,3.32,2.49,4.33
6027.0,7.29,5.63,9.11,10.89,7.21,15.37,19.03,17.23,20.91,3.39,2.17,4.98
6029.0,3.75,3.03,4.54,18.26,16.4,20.02,14.23,13.28,15.14,8.7,7.58,9.85
6031.0,2.08,1.43,2.81,9.07,7.14,11.21,9.71,8.92,10.55,4.4,3.35,5.65
6033.0,9.55,7.29,12.03,31.67,26.18,37.53,28.48,26.35,30.72,8.46,6.26,11.19
6035.0,4.18,2.98,5.62,15.46,11.99,19.36,20.28,18.37,22.06,5.4,3.68,7.31
6037.0,1.54,1.36,1.72,5.78,5.25,6.27,7.99,7.58,8.38,6.17,5.78,6.57
6039.0,3.28,2.43,4.18,11.65,9.32,14.14,12.94,11.95,14.09,7.21,5.7,8.72
6041.0,2.15,1.72,2.6,4.97,3.9,6.14,15.0,14.15,15.85,2.14,1.58,2.82
6043.0,2.34,1.4,3.54,12.65,9.22,16.71,20.44,18.53,22.43,4.27,2.59,6.67
6045.0,5.61,4.31,7.08,16.03,12.96,19.45,23.85,22.09,25.64,6.65,4.93,8.57
6047.0,2.79,2.13,3.48,8.89,7.1,10.87,11.01,10.0,12.06,8.56,7.2,10.03
6049.0,7.54,5.49,9.9,16.42,11.38,22.09,25.26,22.81,28.04,5.76,3.6,8.38
6051.0,2.67,2.01,3.47,4.35,2.73,6.52,13.61,12.23,15.06,2.24,1.41,3.49
6053.0,3.13,2.49,3.8,8.19,6.7,9.64,10.7,9.89,11.51,7.48,6.31,8.58
6055.0,2.66,2.01,3.31,7.52,5.85,9.58,11.15,10.42,11.95,2.47,1.78,3.37
6057.0,2.57,1.86,3.44,12.1,9.89,14.47,19.94,18.58,21.37,3.4,2.37,4.6
6059.0,1.34,1.11,1.6,7.12,6.48,7.72,10.46,10.03,10.88,2.39,2.07,2.76
6061.0,2.04,1.62,2.49,7.26,6.02,8.58,13.6,12.85,14.4,2.52,1.92,3.26
6063.0,4.06,2.71,5.71,20.87,16.02,25.71,23.93,21.74,26.3,5.03,3.29,7.04
6065.0,2.62,2.23,3.05,10.89,9.87,11.92,10.45,9.93,11.01,4.95,4.4,5.56
6067.0,4.58,3.99,5.21,12.17,10.72,13.51,15.1,14.23,15.93,6.84,6.07,7.71
6069.0,2.1,1.46,2.81,6.79,4.92,9.05,8.12,7.36,8.96,3.49,2.5,4.7
6071.0,4.1,3.64,4.6,9.09,8.07,10.08,11.02,10.42,11.68,6.62,5.91,7.38
6073.0,2.88,2.53,3.27,8.94,8.15,9.72,12.66,12.13,13.19,3.07,2.69,3.51
6075.0,4.35,3.53,5.19,16.37,14.64,18.06,10.73,10.06,11.4,5.29,4.5,6.2
6077.0,2.09,1.62,2.68,14.21,12.56,15.89,11.7,10.82,12.6,9.79,8.61,10.95
6079.0,3.39,2.69,4.07,8.71,7.17,10.49,15.15,14.26,16.02,2.2,1.67,2.84
6081.0,1.4,1.07,1.78,5.71,4.76,6.74,7.97,7.52,8.45,2.86,2.35,3.45
6083.0,3.21,2.62,3.91,9.37,7.81,11.25,11.29,10.69,11.89,2.54,1.95,3.25
6085.0,1.87,1.55,2.19,4.63,3.95,5.32,8.51,8.14,8.93,2.62,2.17,3.12
6087.0,2.77,2.11,3.6,13.94,12.03,15.96,13.87,12.99,14.78,3.78,2.92,4.81
6089.0,5.7,4.57,6.99,19.77,16.83,22.95,25.27,23.83,26.82,5.94,4.61,7.56
6091.0,3.49,1.97,5.39,14.58,9.01,21.58,20.94,18.26,24.11,3.74,1.89,6.76
6093.0,4.85,3.7,6.14,13.85,10.65,17.52,26.94,24.97,29.02,5.26,3.8,7.23
6095.0,2.26,1.77,2.86,9.3,7.88,10.83,13.1,12.18,14.08,7.56,6.44,8.83
6097.0,3.26,2.69,3.9,10.14,8.64,11.69,14.5,13.73,15.23,2.94,2.32,3.65
6099.0,2.09,1.57,2.75,13.07,11.29,14.79,11.96,11.09,12.77,6.4,5.34,7.6
6101.0,3.44,2.6,4.35,8.38,6.28,10.61,17.85,16.5,19.23,5.06,3.71,6.57
6103.0,3.33,2.45,4.34,11.31,8.61,14.32,19.66,18.02,21.37,6.05,4.4,8.08
6105.0,6.58,4.66,8.81,15.6,10.75,21.11,30.79,27.54,34.2,8.44,5.44,11.99
6107.0,2.08,1.58,2.59,7.99,6.55,9.59,10.78,9.86,11.66,8.4,7.14,9.71
6109.0,2.12,1.38,3.15,19.7,16.42,23.41,20.09,18.54,21.71,3.44,2.35,4.78
6111.0,2.81,2.34,3.34,9.16,8.08,10.36,10.7,10.15,11.24,3.19,2.63,3.77
6113.0,3.54,2.83,4.31,8.33,6.42,10.27,10.54,9.83,11.29,2.46,1.81,3.32
6115.0,2.54,1.8,3.34,9.06,6.82,11.65,20.33,18.77,21.92,5.76,4.21,7.66
8.0,4.82,4.48,5.16,9.83,9.1,10.52,19.78,19.13,20.45,3.85,3.5,4.24
8001.0,5.09,4.64,5.58,10.62,9.59,11.57,18.58,17.88,19.31,3.9,3.36,4.44
8003.0,8.07,5.81,10.61,15.8,10.63,22.25,29.22,26.31,32.45,7.16,4.72,10.34
8005.0,5.09,4.64,5.58,10.62,9.59,11.57,18.58,17.88,19.31,3.9,3.36,4.44
8007.0,3.31,2.36,4.35,6.17,3.88,9.04,23.83,21.48,26.24,4.34,2.83,6.59
8009.0,2.65,1.71,3.84,7.98,4.49,12.72,23.92,20.96,27.16,3.87,2.11,6.56
8011.0,6.71,4.31,9.17,12.15,7.43,18.32,21.19,18.52,24.47,5.59,3.14,9.01
