State,Area_Name,HH_income_2010,HH_income_2011,HH_income_2012,HH_income_2013,HH_income_2014,HH_income_2015,HH_income_2016,HH_income_2017
AZ,Navajo County,"37,723","32,425","34,662","37,182","35,457","37,658","37,440","40,883"
AZ,Pima County,"44,293","44,102","44,745","43,926","45,871","47,107","47,644","51,392"
AZ,Pinal County,"49,833","45,170","50,362","49,887","49,876","50,888","52,642","53,114"
AZ,Santa Cruz County,"33,952","35,500","36,660","35,753","37,465","34,893","39,090","39,265"
AZ,Yavapai County,"40,562","41,437","43,397","40,486","44,145","47,220","49,824","49,860"
AZ,Yuma County,"40,609","37,894","39,072","40,498","39,700","40,426","42,998","46,013"
AR,Arkansas,"38,413","38,889","40,151","40,605","41,335","42,046","44,406","45,916"
AR,Arkansas County,"38,129","37,922","37,907","38,497","36,409","41,179","39,726","43,752"
AR,Ashley County,"37,042","37,170","39,276","36,479","36,176","39,871","41,277","40,495"
AR,Baxter County,"34,421","33,312","35,315","36,082","37,873","36,902","40,147","43,011"
AR,Benton County,"52,417","52,644","52,717","56,518","57,408","60,294","64,072","64,728"
AR,Boone County,"35,532","38,411","35,848","38,410","39,779","40,909","39,881","41,770"
AR,Bradley County,"31,047","31,118","31,940","31,733","32,734","37,331","34,114","35,950"
AR,Calhoun County,"36,955","35,464","36,216","37,497","39,493","40,526","33,507","42,484"
AR,Carroll County,"33,789","33,579","34,096","34,109","36,964","37,587","37,145","38,297"
AR,Chicot County,"27,321","27,966","26,911","28,006","29,541","29,968","29,527","31,810"
AR,Clark County,"33,433","34,478","34,482","36,517","38,504","37,856","37,247","40,536"
AR,Clay County,"31,976","32,564","32,642","33,488","33,826","35,324","36,037","35,164"
AR,Cleburne County,"35,472","42,265","41,337","41,612","40,555","43,913","42,397","43,170"
AR,Cleveland County,"40,402","41,864","41,338","42,414","43,201","44,123","45,256","47,812"
AR,Columbia County,"34,538","33,533","35,024","36,927","37,495","38,057","35,322","38,488"
AR,Conway County,"37,475","37,830","35,832","38,145","42,348","43,702","41,892","43,519"
AR,Craighead County,"37,780","39,410","42,437","41,608","42,851","42,460","44,091","49,355"
AR,Crawford County,"39,672","37,552","39,367","39,384","43,466","46,545","42,941","44,850"
AR,Crittenden County,"33,938","34,905","36,588","37,726","35,455","37,371","37,627","39,272"
AR,Cross County,"35,080","35,268","35,839","35,438","38,597","39,132","40,970","41,661"
AR,Dallas County,"31,350","30,728","30,984","32,591","34,018","33,352","33,679","33,739"
AR,Desha County,"29,586","30,186","30,298","30,241","33,028","30,987","32,392","33,228"
AR,Drew County,"34,952","35,627","33,682","35,249","36,801","39,339","40,441","41,339"
AR,Faulkner County,"46,199","49,314","49,843","49,936","51,436","51,157","50,909","51,535"
AR,Franklin County,"38,514","38,245","39,763","38,874","40,404","41,933","40,091","41,140"
AR,Fulton County,"30,191","33,696","31,988","33,439","33,347","34,717","33,451","35,723"
