FIPS,State,Area_Name,POP_ESTIMATE_2014,HH_income_2014,Unemployment_rate_2014
8097.0,CO,Pitkin County,"17,726","73,274",4.9
8099.0,CO,Prowers County,"12,089","39,184",4.7
8101.0,CO,Pueblo County,"161,480","41,382",7.3
8103.0,CO,Rio Blanco County,"6,625","63,184",6.0
8105.0,CO,Rio Grande County,"11,508","40,593",9.2
8107.0,CO,Routt County,"24,083","66,846",4.2
8109.0,CO,Saguache County,"6,198","31,227",8.7
8111.0,CO,San Juan County,711,"40,006",5.3
8113.0,CO,San Miguel County,"7,740","59,603",4.8
8115.0,CO,Sedgwick County,"2,333","44,562",4.6
8117.0,CO,Summit County,"29,330","68,352",3.4
8119.0,CO,Teller County,"23,430","62,380",5.9
8121.0,CO,Washington County,"4,732","45,784",3.2
8123.0,CO,Weld County,"276,037","61,501",4.5
8125.0,CO,Yuma County,"10,182","46,838",3.3
9000.0,CT,Connecticut,"3,594,783","70,007",6.6
9001.0,CT,Fairfield County,"944,355","85,336",6.2
9003.0,CT,Hartford County,"897,493","65,809",6.8
9005.0,CT,Litchfield County,"185,398","73,413",6.0
9007.0,CT,Middlesex County,"164,597","76,365",5.7
9009.0,CT,New Haven County,"862,996","60,387",7.2
9011.0,CT,New London County,"271,465","65,813",6.8
9013.0,CT,Tolland County,"151,710","78,653",5.8
9015.0,CT,Windham County,"116,769","57,547",7.3
10000.0,DE,Delaware,"932,596","59,853",5.7
10001.0,DE,Kent County,"171,458","54,271",6.4
10003.0,DE,New Castle County,"550,851","64,632",5.5
10005.0,DE,Sussex County,"210,287","53,316",5.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
